Cruise,Station,Depth,Bottle,Timepoint,Treatment,Treatment_Btl,Hours,DOC_ave,DOC_sd,TOC_ave,TOC_sd,PTOC_ave,PTOC_sd,PDOC_ave,PDOC_sd
AT34,U,5,Niskin,0,,,0,75,0.6,,,,,,
AT34,U,5,GF75,0,,,0,,,,,,,,
AT34,U,5,A,0,Control,Control-A,0,78.9,1,,,,,,
AT34,U,5,A,1,Control,Control-A,12,77.6,0.4,,,,,,
AT34,U,5,A,2,Control,Control-A,24,77.7,0.4,,,,,,
AT34,U,5,A,3,Control,Control-A,48,77.1,0.8,,,,,,
AT34,U,5,A,4,Control,Control-A,72,79.2,,,,,,,
AT34,U,5,A,5,Control,Control-A,96,,,,,,,,
AT34,U,5,A,6,Control,Control-A,120,75.6,0.1,,,,,,
AT34,U,5,A,7,Control,Control-A,144,,,,,,,,
AT34,U,5,A,8,Control,Control-A,168,75.2,0.5,,,,,,
AT34,U,5,A,9,Control,Control-A,192,,,,,,,,
AT34,U,5,A,10,Control,Control-A,216,73.8,0.1,,,,,,
AT34,U,5,A,11,Control,Control-A,240,,,,,,,,
AT34,U,5,A,12,Control,Control-A,336,73.3,0.1,,,,,,
AT34,U,5,A,13,Control,Control-A,504,70,0.2,,,,,,
AT34,U,5,A,14,Control,Control-A,1248,73.1,0.7,,,,,,
AT34,U,5,A,15,Control,Control-A,1728,72.1,0.6,,,,,,
AT34,U,5,A,16,Control,Control-A,2856,72.4,0.7,,,,,,
AT34,U,5,GF75,10,Control,Control-A,216,,,,,,,,
AT34,U,5,B,0,Control,Control-B,0,78,1,,,,,,
AT34,U,5,B,1,Control,Control-B,12,78.5,0.2,,,,,,
AT34,U,5,B,2,Control,Control-B,24,80.7,0.1,,,,,,
AT34,U,5,B,3,Control,Control-B,48,78.9,1.1,,,,,,
AT34,U,5,B,4,Control,Control-B,72,79.3,0.3,,,,,,
AT34,U,5,B,5,Control,Control-B,96,,,,,,,,
AT34,U,5,B,6,Control,Control-B,120,77,0.6,,,,,,
AT34,U,5,B,7,Control,Control-B,144,,,,,,,,
AT34,U,5,B,8,Control,Control-B,168,75.6,1.4,,,,,,
AT34,U,5,B,9,Control,Control-B,192,,,,,,,,
AT34,U,5,B,10,Control,Control-B,216,73.9,0.7,,,,,,
AT34,U,5,B,11,Control,Control-B,240,,,,,,,,
AT34,U,5,B,12,Control,Control-B,336,73.3,0.2,,,,,,
AT34,U,5,B,13,Control,Control-B,504,70.9,0.1,,,,,,
AT34,U,5,B,14,Control,Control-B,1248,71.6,0.5,,,,,,
AT34,U,5,B,15,Control,Control-B,1728,71.7,0.5,,,,,,
AT34,U,5,B,16,Control,Control-B,2856,73.4,0.1,,,,,,
AT34,U,5,GF75,10,Control,Control-B,216,,,,,,,,
AT34,1,10,Niskin,0,,,0,,,,,,,,
AT34,1,10,GF75,0,,,0,,,,,,,,
AT34,1,10,SA,0,Control,Control-A,0,55.2,0.2,,,,,,
AT34,1,10,SA,1,Control,Control-A,24,54.1,0.7,,,,,,
AT34,1,10,SA,2,Control,Control-A,48,,,,,,,,
AT34,1,10,SA,3,Control,Control-A,72,53.6,0,,,,,,
AT34,1,10,SA,4,Control,Control-A,96,,,,,,,,
AT34,1,10,SA,5,Control,Control-A,120,,,,,,,,
AT34,1,10,SA,6,Control,Control-A,144,52.6,0.7,,,,,,
AT34,1,10,SA,7,Control,Control-A,168,,,,,,,,
AT34,1,10,SA,8,Control,Control-A,192,52.3,1.1,,,,,,
AT34,1,10,SA,9,Control,Control-A,216,,,,,,,,
AT34,1,10,SA,10,Control,Control-A,240,,,,,,,,
AT34,1,10,SA,11,Control,Control-A,264,,,,,,,,
AT34,1,10,SA,12,Control,Control-A,312,51.8,1.1,,,,,,
AT34,1,10,SA,13,Control,Control-A,,,,,,,,,
AT34,1,10,SA,14,Control,Control-A,336,,,,,,,,
AT34,1,10,SA,15,Control,Control-A,408,,,,,,,,
AT34,1,10,SA,16,Control,Control-A,1152,56.3,0.4,,,,,,
AT34,1,10,SA,17,Control,Control-A,1632,56.5,0.2,,,,,,
AT34,1,10,SA,18,Control,Control-A,2760,57.3,0.1,,,,,,
AT34,1,10,GF75,8,Control,Control-A,192,,,,,,,,
AT34,1,10,SB,0,Control,Control-B,0,53.8,0.2,,,,,,
AT34,1,10,SB,1,Control,Control-B,24,52.8,0.3,,,,,,
AT34,1,10,SB,2,Control,Control-B,48,,,,,,,,
AT34,1,10,SB,3,Control,Control-B,72,52.6,0.1,,,,,,
AT34,1,10,SB,4,Control,Control-B,96,,,,,,,,
AT34,1,10,SB,5,Control,Control-B,120,,,,,,,,
AT34,1,10,SB,6,Control,Control-B,144,51.6,0.5,,,,,,
AT34,1,10,SB,7,Control,Control-B,168,,,,,,,,
AT34,1,10,SB,8,Control,Control-B,192,51.6,0.5,,,,,,
AT34,1,10,SB,9,Control,Control-B,216,,,,,,,,
AT34,1,10,SB,10,Control,Control-B,240,,,,,,,,
AT34,1,10,SB,11,Control,Control-B,264,,,,,,,,
AT34,1,10,SB,12,Control,Control-B,312,52.2,0.7,,,,,,
AT34,1,10,SB,13,Control,Control-B,,,,,,,,,
AT34,1,10,SB,14,Control,Control-B,336,,,,,,,,
AT34,1,10,SB,15,Control,Control-B,408,50.7,,,,,,,
AT34,1,10,SB,16,Control,Control-B,1152,54.4,1.2,,,,,,
AT34,1,10,SB,17,Control,Control-B,1632,53.7,0.8,,,,,,
AT34,1,10,SB,18,Control,Control-B,2760,54,0.1,,,,,,
AT34,1,10,GF75,8,Control,Control-B,192,,,,,,,,
AT34,1,200,Niskin,0,,,0,,,,,,,,
AT34,1,200,GF75,0,,,0,,,,,,,,
AT34,1,200,DA,0,Control,Control-A,0,50.7,0.4,,,,,,
AT34,1,200,DA,1,Control,Control-A,24,49.9,1.3,,,,,,
AT34,1,200,DA,2,Control,Control-A,48,,,,,,,,
AT34,1,200,DA,3,Control,Control-A,72,49.4,0.2,,,,,,
AT34,1,200,DA,4,Control,Control-A,96,,,,,,,,
AT34,1,200,DA,5,Control,Control-A,120,,,,,,,,
AT34,1,200,DA,6,Control,Control-A,144,49.1,0.2,,,,,,
AT34,1,200,DA,7,Control,Control-A,168,,,,,,,,
AT34,1,200,DA,8,Control,Control-A,192,49.7,0.4,,,,,,
AT34,1,200,DA,9,Control,Control-A,216,,,,,,,,
AT34,1,200,DA,10,Control,Control-A,240,,,,,,,,
AT34,1,200,DA,11,Control,Control-A,264,,,,,,,,
AT34,1,200,DA,12,Control,Control-A,312,51.6,0.6,,,,,,
AT34,1,200,DA,13,Control,Control-A,,,,,,,,,
AT34,1,200,DA,14,Control,Control-A,336,,,,,,,,
AT34,1,200,DA,15,Control,Control-A,408,51.2,0.4,,,,,,
AT34,1,200,DA,16,Control,Control-A,1152,54.3,1.1,,,,,,
AT34,1,200,DA,17,Control,Control-A,1632,56.6,0.2,,,,,,
AT34,1,200,DA,18,Control,Control-A,2760,56.2,1.8,,,,,,
AT34,1,200,GF75,12,Control,Control-A,312,,,,,,,,
AT34,1,200,DB,0,Control,Control-B,0,48.8,0,,,,,,
AT34,1,200,DB,1,Control,Control-B,24,49.5,0.2,,,,,,
AT34,1,200,DB,2,Control,Control-B,48,,,,,,,,
AT34,1,200,DB,3,Control,Control-B,72,49.2,0.1,,,,,,
AT34,1,200,DB,4,Control,Control-B,96,,,,,,,,
AT34,1,200,DB,5,Control,Control-B,120,,,,,,,,
AT34,1,200,DB,6,Control,Control-B,144,50.6,1.3,,,,,,
AT34,1,200,DB,7,Control,Control-B,168,,,,,,,,
AT34,1,200,DB,8,Control,Control-B,192,51,1.5,,,,,,
AT34,1,200,DB,9,Control,Control-B,216,,,,,,,,
AT34,1,200,DB,10,Control,Control-B,240,,,,,,,,
AT34,1,200,DB,11,Control,Control-B,264,,,,,,,,
AT34,1,200,DB,12,Control,Control-B,312,51,0.3,,,,,,
AT34,1,200,DB,13,Control,Control-B,,,,,,,,,
AT34,1,200,DB,14,Control,Control-B,336,,,,,,,,
AT34,1,200,DB,15,Control,Control-B,408,50.4,,,,,,,
AT34,1,200,DB,16,Control,Control-B,1152,55,0.8,,,,,,
AT34,1,200,DB,17,Control,Control-B,1632,56.4,0.5,,,,,,
AT34,1,200,DB,18,Control,Control-B,2760,59.2,1.2,,,,,,
AT34,1,200,GF75,12,Control,Control-B,312,,,,,,,,
AT34,2,10,Niskin,0,,,0,,,,,,,,
AT34,2,10,GF75,0,,,0,,,,,,,,
AT34,2,10,SA,0,Control,Control-A,0,57.6,1.2,,,,,,
AT34,2,10,SA,1,Control,Control-A,24,56.8,0.8,,,,,,
AT34,2,10,SA,2,Control,Control-A,48,,,,,,,,
AT34,2,10,SA,3,Control,Control-A,72,,,,,,,,
AT34,2,10,SA,4,Control,Control-A,96,56.2,0.5,,,,,,
AT34,2,10,SA,5,Control,Control-A,120,,,,,,,,
AT34,2,10,SA,6,Control,Control-A,144,56.1,0.9,,,,,,
AT34,2,10,SA,7,Control,Control-A,168,,,,,,,,
AT34,2,10,SA,8,Control,Control-A,192,,,,,,,,
AT34,2,10,SA,9,Control,Control-A,216,56.8,0.6,,,,,,
AT34,2,10,SA,10,Control,Control-A,264,56,0.1,,,,,,
AT34,2,10,SA,11,Control,Control-A,288,,,,,,,,
AT34,2,10,SA,12,Control,Control-A,336,55,0.1,,,,,,
AT34,2,10,SA,13,Control,Control-A,1080,57.3,0.9,,,,,,
AT34,2,10,SA,14,Control,Control-A,1584,56.6,0.5,,,,,,
AT34,2,10,SA,15,Control,Control-A,2688,61.1,1,,,,,,
AT34,2,10,GF75,9,Control,Control-A,216,,,,,,,,
AT34,2,10,SB,0,Control,Control-B,0,57,1.3,,,,,,
AT34,2,10,SB,1,Control,Control-B,24,56.6,0,,,,,,
AT34,2,10,SB,2,Control,Control-B,48,,,,,,,,
AT34,2,10,SB,3,Control,Control-B,72,,,,,,,,
AT34,2,10,SB,4,Control,Control-B,96,56.7,0.7,,,,,,
AT34,2,10,SB,5,Control,Control-B,120,,,,,,,,
AT34,2,10,SB,6,Control,Control-B,144,56.2,0.2,,,,,,
AT34,2,10,SB,7,Control,Control-B,168,,,,,,,,
AT34,2,10,SB,8,Control,Control-B,192,,,,,,,,
AT34,2,10,SB,9,Control,Control-B,216,56.5,0.4,,,,,,
AT34,2,10,SB,10,Control,Control-B,264,55.7,0.3,,,,,,
AT34,2,10,SB,11,Control,Control-B,288,,,,,,,,
AT34,2,10,SB,12,Control,Control-B,336,55.3,0.1,,,,,,
AT34,2,10,SB,13,Control,Control-B,1080,58.1,0.6,,,,,,
AT34,2,10,SB,14,Control,Control-B,1584,58.5,0.4,,,,,,
AT34,2,10,SB,15,Control,Control-B,2688,59.5,0.8,,,,,,
AT34,2,10,GF75,9,Control,Control-B,216,,,,,,,,
AT34,2,10,SA12,0,TW12,TW12-A,0,62.9,0,,,,,,
AT34,2,10,SA12,1,TW12,TW12-A,24,62.3,0.3,,,,,,
AT34,2,10,SA12,2,TW12,TW12-A,48,,,,,,,,
AT34,2,10,SA12,3,TW12,TW12-A,72,,,,,,,,
AT34,2,10,SA12,4,TW12,TW12-A,96,60.6,0.9,,,,,,
AT34,2,10,SA12,5,TW12,TW12-A,120,,,,,,,,
AT34,2,10,SA12,6,TW12,TW12-A,144,58.3,0.7,,,,,,
AT34,2,10,SA12,7,TW12,TW12-A,168,,,,,,,,
AT34,2,10,SA12,8,TW12,TW12-A,192,,,,,,,,
AT34,2,10,SA12,9,TW12,TW12-A,216,58.8,0.6,,,,,,
AT34,2,10,GF75,8,TW12,TW12-A,192,,,,,,,,
AT34,2,10,SB12,0,TW12,TW12-B,0,62,1,,,,,,
AT34,2,10,SB12,1,TW12,TW12-B,24,62.7,0.4,,,,,,
AT34,2,10,SB12,2,TW12,TW12-B,48,,,,,,,,
AT34,2,10,SB12,3,TW12,TW12-B,72,,,,,,,,
AT34,2,10,SB12,4,TW12,TW12-B,96,59.6,0.1,,,,,,
AT34,2,10,SB12,5,TW12,TW12-B,120,,,,,,,,
AT34,2,10,SB12,6,TW12,TW12-B,144,59,0.3,,,,,,
AT34,2,10,SB12,7,TW12,TW12-B,168,,,,,,,,
AT34,2,10,SB12,8,TW12,TW12-B,192,,,,,,,,
AT34,2,10,SB12,9,TW12,TW12-B,216,59,0.4,,,,,,
AT34,2,10,GF75,8,TW12,TW12-B,192,,,,,,,,
AT34,2,10,SA13,0,TW13,TW13-A,0,62.8,0.5,,,,,,
AT34,2,10,SA13,1,TW13,TW13-A,24,63.3,0,,,,,,
AT34,2,10,SA13,2,TW13,TW13-A,48,,,,,,,,
AT34,2,10,SA13,3,TW13,TW13-A,72,,,,,,,,
AT34,2,10,SA13,4,TW13,TW13-A,96,60.2,0.2,,,,,,
AT34,2,10,SA13,5,TW13,TW13-A,120,,,,,,,,
AT34,2,10,SA13,6,TW13,TW13-A,144,58.5,0.4,,,,,,
AT34,2,10,SA13,7,TW13,TW13-A,168,,,,,,,,
AT34,2,10,SA13,8,TW13,TW13-A,192,,,,,,,,
AT34,2,10,SA13,9,TW13,TW13-A,216,56.9,0.2,,,,,,
AT34,2,10,GF75,8,TW13,TW13-A,192,,,,,,,,
AT34,2,10,SB13,0,TW13,TW13-B,0,62.4,0.1,,,,,,
AT34,2,10,SB13,1,TW13,TW13-B,24,63,0.3,,,,,,
AT34,2,10,SB13,2,TW13,TW13-B,48,,,,,,,,
AT34,2,10,SB13,3,TW13,TW13-B,72,,,,,,,,
AT34,2,10,SB13,4,TW13,TW13-B,96,61.2,2.2,,,,,,
AT34,2,10,SB13,5,TW13,TW13-B,120,,,,,,,,
AT34,2,10,SB13,6,TW13,TW13-B,144,58.5,0.5,,,,,,
AT34,2,10,SB13,7,TW13,TW13-B,168,,,,,,,,
AT34,2,10,SB13,8,TW13,TW13-B,192,,,,,,,,
AT34,2,10,SB13,9,TW13,TW13-B,216,57.4,0.2,,,,,,
AT34,2,10,GF75,8,TW13,TW13-B,192,,,,,,,,
AT34,2,200,Niskin,0,,,0,,,,,,,,
AT34,2,200,GF75,0,,,0,,,,,,,,
AT34,2,200,DA,0,Control,Control-A,0,50.4,0.4,,,,,,
AT34,2,200,DA,1,Control,Control-A,24,49.4,0.2,,,,,,
AT34,2,200,DA,2,Control,Control-A,48,,,,,,,,
AT34,2,200,DA,3,Control,Control-A,72,,,,,,,,
AT34,2,200,DA,4,Control,Control-A,96,50.7,0.8,,,,,,
AT34,2,200,DA,5,Control,Control-A,120,,,,,,,,
AT34,2,200,DA,6,Control,Control-A,144,49.9,1,,,,,,
AT34,2,200,DA,7,Control,Control-A,168,,,,,,,,
AT34,2,200,DA,8,Control,Control-A,192,,,,,,,,
AT34,2,200,DA,9,Control,Control-A,216,51,0.1,,,,,,
AT34,2,200,DA,10,Control,Control-A,264,50,0.8,,,,,,
AT34,2,200,DA,11,Control,Control-A,288,,,,,,,,
AT34,2,200,DA,12,Control,Control-A,336,51.1,1.1,,,,,,
AT34,2,200,DA,13,Control,Control-A,1080,55.2,0.1,,,,,,
AT34,2,200,DA,14,Control,Control-A,1584,57.4,1.6,,,,,,
AT34,2,200,DA,15,Control,Control-A,2688,58.8,0.4,,,,,,
AT34,2,200,GF75,10,Control,Control-A,264,,,,,,,,
AT34,2,200,DB,0,Control,Control-B,0,49.8,2.1,,,,,,
AT34,2,200,DB,1,Control,Control-B,24,49.9,1.6,,,,,,
AT34,2,200,DB,2,Control,Control-B,48,,,,,,,,
AT34,2,200,DB,3,Control,Control-B,72,,,,,,,,
AT34,2,200,DB,4,Control,Control-B,96,50,0.9,,,,,,
AT34,2,200,DB,5,Control,Control-B,120,,,,,,,,
AT34,2,200,DB,6,Control,Control-B,144,51.8,0.6,,,,,,
AT34,2,200,DB,7,Control,Control-B,168,,,,,,,,
AT34,2,200,DB,8,Control,Control-B,192,,,,,,,,
AT34,2,200,DB,9,Control,Control-B,216,50.6,0.2,,,,,,
AT34,2,200,DB,10,Control,Control-B,264,52.2,0.4,,,,,,
AT34,2,200,DB,11,Control,Control-B,288,,,,,,,,
AT34,2,200,DB,12,Control,Control-B,336,50.3,0.7,,,,,,
AT34,2,200,DB,13,Control,Control-B,1080,55.7,0.2,,,,,,
AT34,2,200,DB,14,Control,Control-B,1584,56.5,2.1,,,,,,
AT34,2,200,DB,15,Control,Control-B,2688,59.3,0.8,,,,,,
AT34,2,200,GF75,10,Control,Control-B,264,,,,,,,,
AT34,2,200,DA12,0,TW12,TW12-A,0,54.6,0.5,,,,,,
AT34,2,200,DA12,1,TW12,TW12-A,24,55,0.2,,,,,,
AT34,2,200,DA12,2,TW12,TW12-A,48,,,,,,,,
AT34,2,200,DA12,3,TW12,TW12-A,72,,,,,,,,
AT34,2,200,DA12,4,TW12,TW12-A,96,53.7,0.5,,,,,,
AT34,2,200,DA12,5,TW12,TW12-A,120,,,,,,,,
AT34,2,200,DA12,6,TW12,TW12-A,144,53,0.7,,,,,,
AT34,2,200,DA12,7,TW12,TW12-A,168,,,,,,,,
AT34,2,200,DA12,8,TW12,TW12-A,192,,,,,,,,
AT34,2,200,DA12,9,TW12,TW12-A,216,52.3,0.7,,,,,,
AT34,2,200,DA12,10,TW12,TW12-A,264,52.3,0.6,,,,,,
AT34,2,200,GF75,10,TW12,TW12-A,264,,,,,,,,
AT34,2,200,DB12,0,TW12,TW12-B,0,56.6,2.5,,,,,,
AT34,2,200,DB12,1,TW12,TW12-B,24,56.3,0.2,,,,,,
AT34,2,200,DB12,2,TW12,TW12-B,48,,,,,,,,
AT34,2,200,DB12,3,TW12,TW12-B,72,,,,,,,,
AT34,2,200,DB12,4,TW12,TW12-B,96,54.4,1.3,,,,,,
AT34,2,200,DB12,5,TW12,TW12-B,120,,,,,,,,
AT34,2,200,DB12,6,TW12,TW12-B,144,52.6,0,,,,,,
AT34,2,200,DB12,7,TW12,TW12-B,168,,,,,,,,
AT34,2,200,DB12,8,TW12,TW12-B,192,,,,,,,,
AT34,2,200,DB12,9,TW12,TW12-B,216,52.6,0.1,,,,,,
AT34,2,200,DB12,10,TW12,TW12-B,264,52,1,,,,,,
AT34,2,200,GF75,10,TW12,TW12-B,264,,,,,,,,
AT34,2,200,DA13,0,TW13,TW13-A,0,55.2,0.4,,,,,,
AT34,2,200,DA13,1,TW13,TW13-A,24,55.2,0.7,,,,,,
AT34,2,200,DA13,2,TW13,TW13-A,48,,,,,,,,
AT34,2,200,DA13,3,TW13,TW13-A,72,,,,,,,,
AT34,2,200,DA13,4,TW13,TW13-A,96,54.2,0.3,,,,,,
AT34,2,200,DA13,5,TW13,TW13-A,120,,,,,,,,
AT34,2,200,DA13,6,TW13,TW13-A,144,52.5,0.3,,,,,,
AT34,2,200,DA13,7,TW13,TW13-A,168,,,,,,,,
AT34,2,200,DA13,8,TW13,TW13-A,192,,,,,,,,
AT34,2,200,DA13,9,TW13,TW13-A,216,52.7,0.7,,,,,,
AT34,2,200,DA13,10,TW13,TW13-A,264,53.2,0.8,,,,,,
AT34,2,200,GF75,10,TW13,TW13-A,264,,,,,,,,
AT34,2,200,DB13,0,TW13,TW13-B,0,53.5,0.1,,,,,,
AT34,2,200,DB13,1,TW13,TW13-B,24,54,0.2,,,,,,
AT34,2,200,DB13,2,TW13,TW13-B,48,,,,,,,,
AT34,2,200,DB13,3,TW13,TW13-B,72,,,,,,,,
AT34,2,200,DB13,4,TW13,TW13-B,96,53,1.1,,,,,,
AT34,2,200,DB13,5,TW13,TW13-B,120,,,,,,,,
AT34,2,200,DB13,6,TW13,TW13-B,144,52.7,0.2,,,,,,
AT34,2,200,DB13,7,TW13,TW13-B,168,,,,,,,,
AT34,2,200,DB13,8,TW13,TW13-B,192,,,,,,,,
AT34,2,200,DB13,9,TW13,TW13-B,216,51.8,0.5,,,,,,
AT34,2,200,DB13,10,TW13,TW13-B,264,51.4,0.3,,,,,,
AT34,2,200,GF75,10,TW13,TW13-B,264,,,,,,,,
AT34,3,10,Niskin,0,,,0,,,,,,,,
AT34,3,10,GF75,0,,,0,,,,,,,,
AT34,3,10,SA,0,Control,Control-A,0,60.3,0.6,,,,,,
AT34,3,10,SA,1,Control,Control-A,24,61.8,0.3,,,,,,
AT34,3,10,SA,2,Control,Control-A,48,,,,,,,,
AT34,3,10,SA,3,Control,Control-A,72,,,,,,,,
AT34,3,10,SA,4,Control,Control-A,96,59.2,1.1,,,,,,
AT34,3,10,SA,5,Control,Control-A,120,,,,,,,,
AT34,3,10,SA,6,Control,Control-A,144,,,,,,,,
AT34,3,10,SA,7,Control,Control-A,168,58.2,0.5,,,,,,
AT34,3,10,SA,8,Control,Control-A,216,,,,,,,,
AT34,3,10,SA,9,Control,Control-A,240,57.4,0.3,,,,,,
AT34,3,10,SA,10,Control,Control-A,288,,,,,,,,
AT34,3,10,SA,11,Control,Control-A,312,57.7,0.6,,,,,,
AT34,3,10,SA,12,Control,Control-A,1032,62.4,0.2,,,,,,
